V Num	DTest Time	
22800.000000	102.605402	
22900.000000	103.046561	
23000.000000	103.487846	
23100.000000	103.928917	
23200.000000	104.370233	
23300.000000	104.870246	
23400.000000	105.311317	
23500.000000	105.752709	
23600.000000	106.193898	
23700.000000	106.635068	
23800.000000	107.075996	
23900.000000	107.517076	
24000.000000	107.958283	
24100.000000	108.399296	
24200.000000	108.840563	
24300.000000	109.281806	
24400.000000	109.723068	
24500.000000	110.164352	
24600.000000	110.605326	
24700.000000	111.046398	
24800.000000	111.487577	
24900.000000	111.928734	
25000.000000	112.369968	
25100.000000	112.811071	
25200.000000	113.252366	
25300.000000	113.693362	
25400.000000	114.134364	
25500.000000	114.575390	
25600.000000	115.016596	
25700.000000	115.457778	
25800.000000	115.898882	
25900.000000	116.340134	
26000.000000	116.781461	
26100.000000	117.222538	
26200.000000	117.663661	
26300.000000	118.104854	
26400.000000	118.545894	
26500.000000	118.987061	
26600.000000	119.428245	
26700.000000	119.869406	
26800.000000	120.310469	
26900.000000	120.751742	
27000.000000	121.192974	
27100.000000	121.633992	
27200.000000	122.075060	
27300.000000	122.516286	
27400.000000	122.957362	
27500.000000	123.398459	
27600.000000	123.840246	
27700.000000	124.281374	
27800.000000	124.722434	
27900.000000	125.163454	
28000.000000	125.604589	
28100.000000	126.045770	
28200.000000	126.486795	
28300.000000	126.927783	
28400.000000	127.368809	
28500.000000	127.809984	
28600.000000	128.251256	
28700.000000	128.692423	
28800.000000	129.133579	
28900.000000	129.574599	
29000.000000	130.015782	
29100.000000	130.459823	
29200.000000	130.906819	
29300.000000	131.351416	
29400.000000	131.796003	
29500.000000	132.240759	
29600.000000	132.685678	
29700.000000	133.130041	
29800.000000	133.574809	
29900.000000	134.019371	
30000.000000	134.464135	
30100.000000	134.908987	
30200.000000	135.353819	
30300.000000	135.798277	
30400.000000	136.242867	
30500.000000	136.693315	
30600.000000	137.143609	
30700.000000	137.594011	
30800.000000	138.044129	
30900.000000	138.494455	
31000.000000	138.944562	
31100.000000	139.395130	
31200.000000	139.845153	
31300.000000	140.295221	
31400.000000	140.745493	
31500.000000	141.195581	
31600.000000	141.646127	
